chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1011,408,771,1776,M
1095,424,995,1734,L
1140,445,1056,1827,XL
1297,466,1092,1835,3XL
1017,418,803,1745,M
936,389,661,1660,S
1161,439,1029,1824,XL
1178,441,1081,1857,2XL
1072,415,1034,1790,L
1068,433,813,1807,L
1051,401,817,1676,M
1077,410,862,1764,L
1115,423,965,1764,XL
1052,410,880,1730,L
1312,468,1254,1912,3XL
1050,408,758,1734,M
1017,414,761,1732,M
1104,417,947,1805,L
967,395,683,1705,S
1137,439,974,1809,XL
1011,398,821,1748,M
1140,425,1004,1822,XL
1061,409,814,1676,M
1134,427,881,1762,XL
1202,445,1179,1751,2XL
1170,425,1051,1781,XL
961,384,658,1724,S
1113,444,956,1847,XL
1061,420,867,1760,L
1157,433,978,1781,XL
1143,433,972,1760,XL
1122,432,934,1679,XL
1108,418,962,1819,L
1108,411,895,1730,L
1073,423,929,1796,L
1046,408,752,1695,M
1158,443,1093,1848,XL
1151,437,1057,1851,XL
1059,417,865,1768,L
1129,438,997,1790,XL
1194,447,1137,1877,2XL
1088,418,845,1780,L
1044,405,843,1776,M
1052,410,878,1674,L
1098,429,870,1717,L
994,396,760,1705,S
1102,430,946,1768,L
1111,423,873,1780,L
999,413,711,1785,M
1176,436,990,1776,2XL
1008,402,699,1743,M
1155,433,1007,1790,XL
1204,443,1034,1799,2XL
1166,445,1032,1730,XL
941,401,656,1682,S
1127,430,921,1735,XL
968,394,632,1692,S
941,401,671,1834,S
1150,428,974,1722,XL
1090,411,856,1707,L
1053,421,874,1803,L
1164,429,946,1815,XL
1088,415,932,1754,L
1053,399,759,1668,M
1164,433,1032,1829,XL
1119,424,1078,1827,XL
1055,408,962,1785,M
1112,424,818,1713,XL
932,384,760,1823,S
1109,432,952,1842,L
1166,443,1001,1771,XL
1117,420,921,1833,L
1142,424,928,1765,XL
1114,431,966,1694,XL
1041,405,798,1668,M
1152,441,915,1803,XL
1106,425,955,1814,L
977,403,698,1771,S
1062,423,951,1826,L
1071,420,845,1718,L
1130,438,974,1817,XL
1137,435,909,1767,XL
1049,405,879,1791,M
1108,422,1007,1822,L
1142,432,1016,1820,XL
1153,433,969,1766,XL
1206,436,1047,1774,2XL
907,381,632,1607,XS
1077,412,829,1832,L
1065,412,822,1725,L
951,406,714,1842,S
1032,413,800,1780,M
1118,435,940,1780,XL
951,408,695,1767,S
1100,426,850,1719,L
1089,430,855,1797,L
1075,425,850,1788,L
987,407,789,1723,S
1147,439,1045,1821,XL
1048,414,804,1745,M
979,388,727,1715,S
1199,442,1041,1775,2XL
1027,404,710,1686,M
1114,434,953,1740,XL
1102,431,840,1771,L
907,389,646,1701,XS
1112,414,915,1721,L
1223,443,1067,1770,2XL
1048,406,772,1690,M
1034,408,817,1763,M
